comment,abusive,aggressor,logged_in,comment_len
Gosh I just LOVE this. Like. Damn. So much drama. The way Wei Wuxian enters the cave and FEELS the resentment. How his kind bleeding heart makes him promise to help. Jin Zixuan showing some better character development already compared to canon. MianMian being sweetly awesome. The whole damn BATTLE. -hands over platter- Magic cupcakes for you!,0,,,347
"Now this, I'd say, is the least ooc that bottom lwj has ever been. I believe bottom lwj is very much possible and capable of being hot as all hell but I'm always disappointed with how authors change so much of his actual persona to make him fit the role. And like, I get it. It's incredibly difficult to write his character even without the sexual aspect of him so ofc it's got to be hard shit to write him sexually when canon is completely against bottom lwj. BUT I'd prefer the authors to at least be honest about it and tag him as ooc which is very rarely done, so this one, with no requirement of the tag AND lwj and wwx as canon as ever, was a whole delight. Thank you for this gem ♡",0,,,688
"Love was ever so terrible I HATE THIS SENTENCE GODDAMMIT BUT ALSO
CURSED TO NEVER BE ABLE TO LIE AGAIN
woah WY THATS GENIUS",0,,,125
oh no,0,,,5
"This is so beautiful. Can't wait to find out what happens next. Btw, does JC know about this? I can't believe that he doesn't. It must be heart wrenching to see JL seeking and receiving love and validation from the brother he blames for every thing. Thank you for the hard work!",0,,,279
"Oh man this This looks like SO MUCH FUN I really love the idea of Wei Ying and Jin Ling bonding like this, and I can't wait to learn if Jiang Cheng is aware and WHAT WILL LAN ZHAN DO",0,,,184
I feel so bad for them. They all are victims in many ways.,0,,,58
WWX's confession broke JC... This chapter broke me *breaks down and cries* *hands over broken heart* take responsibility. Fix it,0,,,130
"Finally, let these two idiots talk things out. WITHOUT fighting. And then they need to get their shit together and go make it up to Jin Ling for dragging him into this whole situation.",0,,,184
"fuck, imma gonna crie",0,,,21
"Bless this chapter
I want to scream in delight",0,,,46
"You are so good...
Love it
Live it Can't wait for more Thank you",0,,,66
*dead*,0,,,6
"you lied!!!!!!! i cried!!!!!! out of happiness and not overwhelming sadness this time, so i'll let it pass. JIANG YING!!!!!!!!!",0,,,127
"Anon, you've reached into my chest and pulled my heart apart. tHis is so saaaad That last section, where Xichen is trying to piece things together but also trying not to because it's so horrifying, the way he remembers initially blocking out the memory, is just heartbreaking.",0,,,279
I imagined it as Zidian speaking. Ah but Zidian is his as he is Zidian's.,0,,,73
Omg I absolutely love this idea PLEASE continue this series is so amazing!!!!!!,0,,,79
I CAN'T BELIEVE THIS STILL HAPPENED TO SONGXIAO ,0,,,52
ten bucks says jzx gets in a fistfight with nmj after this,0,,,58
"as if I couldnt hate JGY any more
thanks for that
(I mean this is a nice way to you)",0,,,84
"I'm gonna stop here cause you have only updated 4 chapters and I won't be able to keep on living without the rest of the story, so yes, I'm gonna take up your offer and check twitter and I'll come back whenever this story is finished! <br/>Thanks again, it is a super interesting story, being completely honest I really don't like this kind of fics but something just caught me and her I am!",0,,,392
you've had me at ghost sex,0,,,26
AAAAH THIS IS SO GOOD. THANKS FOR THE UPDATE!,0,,,45
HOLY FVCKJQJSQOJLQJDKQKZNAL,0,,,27
oh fuck oh fuck it’s going down and im not ready. im so not ready and neither is jgy. we’re about to be massacred with feels,0,,,124
"YUS yus yus, the Reavers, alive and eating people. I am HYPE. But mostly I’m hype for Su She to get what he deserves~. Honestly I’m so excited for all of this, from Wei WuXian to get to meet his son again to Jiang Chang and his relationship to be BROTHERS. Ugh so MUCH and you are doing the good work here. Thank you so much!!!!!",0,,,329
"Wei Ying is right. They used him when needed & thrown him away when not.
Feel hurt for Wei Ying. He was forced to die. I want to punch JC and LZ as LZ words broke Wei Ying more. Cause they still want to use WWX. ",0,,,214
I also feel like the old man is someone important....lxc?,0,,,57
GOD BLESS YOU GOD BLESS YOU ALKIE,0,,,33
Goshh.... This is just.... I love the way Nie Mingjue Envy lol,0,,,62
"xichen, this poor baby, is toooo soft and pure for this world.
before, he's surrounded by his two loves. now, he's all alone. T___T i weep for this baby.
thanks for sharing!",0,,,173
"It would be great if you write another one exactly like this, except the part Jin GuangYao makes Lan XiChen sleep. I wonder to see him frightened and scared. It could happen when, you know exposure of Jin GuangYao, when Wei WuXian and Lan Wangji were trying to figure out what Jin GuangYao is trying to do and where did he took Lan XiChen.",0,,,339
"Excellent! :noseblee
Good job!! Really loved it!! The angst at the en ""I want to say... I love you"" I'm angst trash",0,,,119
nosebleeds everywhere,0,,,21
A bittersweet closure to his mourning. Nice story.,0,,,50
"Holy crap, not something i expected to see at 3 am O.o",0,,,54
"T______T i cried. im very happy for xichen's happily ever after ending T______T
thanks for the update!",0,,,102
Give NHS his wish! I didn't knew I needed this but now I want more.,0,,,67
WWX SMH LOOK AT YOUR POOR HANGUANG-JUN,0,,,38
I was so excited to see this fic had updated! Ah this chapter was such a rollercoaster with all the happy/fun wedding shenanigans and then the heartbreaking ending had me dead. Wonderfully written! I'm hoping that the ending means next chapter we get some (not so) platonic bed-sharing????,0,,,289
"<p>OMGOMGOMGOMG. First, this was such a deliciously high-strung, angsty ride. Second, this chapter, them finally admitting and apologizing for everything is PERFECTION. I am tearing up over here! &lt;3</p>",0,,,205
I CAN'T. sdkfa;jasdf;,0,,,21
I am totally biting my nails waiting for what happens next!,0,,,59
"OMG omg omg. You are so masterful! This is going to be like, the best reveal when WY is revealed to be the chef behind the night's creations.",0,,,141
"Hi. I love this story, and I'm dying to read the rest of it!!",0,,,61
"This is going to be a great story, thank you in advance, keep the chapters coming.",0,,,82
I love how you write huaisang and xichen's character in here,0,,,60
yes. destroy that twink,0,,,23
"Jesus. Just...
Jesus. We all need Jesus. Also, I love this.",0,,,61
I will forever hate Jiang Fengmian in every fic as to what he did to Jiang Cheng I am also soo not liking Wei Wuxian's martyr complex. I sometimes wish to hit him. And I keep wondering why Yanli is always quiet. Ok sorry about that. I just wish I could take away Jiang Cheng from them and make him happy away from them.Coz he is just too good for them.,0,,,354
"Jiang Fengmian is a fucking bastard. How can he not realize how hard ChengCheng works to make him proud?
I'm loving this chapter, I look forward to the next update.",0,,,164
"I'M SO HURT RIGHT NOW. Your JC POV is amazing. My best boi is so real, and so hurt. I wanted to cry. Please Fengmian just go and die, you don't deserve any of your children.",0,,,173
Sometimes i wished madam yu had took JC and left and never looked back. I still wished that tbh.,0,,,96
"Duuuuuuuuuuude from the title i thought it was going to be funny but you murdered us all in the very first chapter! How could you bee??? I trusted you (not really, I know better than to trust anyone in the xicheng fandom).",0,,,222
"Just started reading this, but legit had to stop and take a breath, because I got close to murder during the whole last confrontation lol
WWX shitty ‘yeah, punch me, as long as you feel better!’ martyr attitude pissed me off so much",0,,,232
JFM speaks his first line and I already hate him,0,,,51
CAN SOMEONE FCKING DECK HIS DAD IN THE FACE OMG JIANG FENGMIAN IS SUCH A PIECE OF SHIT!!!!,0,,,90
"To be honest, I never hated Jiang Fengmian than he is right here! I was always shutting up about rants against JFM because he doesn't matter to me. YET HOLY-I JUST WANT TO REACH ACROSS THIS SCREEN AND STONE HIM TO DEATH. HOW COULD HE TREAT JIANG CHENG LIKE THAT. BUT WOW! FIRST CHAPTER IS A BLST. You captured everything so amazingly!",0,,,339
You have managed to make me cry in the first chapter. Bravo.,0,,,60
"Fck u JFM and YZY!!! Bdhxhdsbcjsbdbd
How dare you do that do JC. He's you fckng son for christ sakes!!! Bdhcbsbxjc Sorry I just hate those two. JC deserves better parents. Please let someone be his adopted parents or somewhat like parents please",0,,,246
You made me cry!!! ️️,0,,,23
"man fuck JFM! like cmon! how hard is it to come up with a name fucker could've just said ""sally"" jc would've still used it. god this chapter was so heavy with cry vacuuming wwxs holy shit I'm bi and the last lxc names jc and family eating together. lot to unpack i still wanna punch jfm in the face FUCK THAT GUY. man fuck",0,,,322
"fuck. Fuck, that last part was such a good catharsis. Thank you. Your writing is phenomenal, your characters so well balanced/so well connected to the way they are in canon but also so well suited to the modern world, and it’s really really wonderful to see.",0,,,258
"omg, so much to love in this chapter! wwx bsod over the concept of bisexuality and him being bi, plus jzx being a stupid dick, and jc's dad being the worst again! excellent work!",0,,,178
"
I hadn't known before today that there was a difference between funny vacuuming and tragic vacumming. This chapter hurt me.",0,,,124
"ok so i am /???"" crying ????????? fuck",0,,,38
"god, all the chapters are different variants of pure pain. my gut was twisted as i read this T_T altho, jin ling's hyper well-meaning enthusiasm somewhat lightened things...only somewhat. i hurt for chengxian so much T_T",0,,,220
".... TT-TT Ah, this fic hurts so much... The way they misunderstood each other, only now realizing... I'm just glad they're getting their chance...",0,,,148
"Lan Juniors are... superficial and obnoxious, praising WWX for giving his core to JC. And quick to jump to accusations. As a previous commentator noted- following in LWJ’s obnoxious example....",0,,,193
"Yikes, poor penguin indeed... The foreshadowing makes the whole scene incredibly creepy.",0,,,88
"I can't even say anything cohorent, this fic has just destroyed me. I have read it, and had to sit on it for a while, to just savor how raw it left me. This chapter has just had me breathing real hard for the entirety of it.
The disassociation, the feeling of everything slipping out of control... It broke me, in strangely cathartic way. I can't imagine how much worse and intense this can get.",0,,,395
"omg JC coming between him and Sect Leader Su ahhhhhh ""you're not doing this again"" AHHHHHHHHHHHHHHHHHHH so many emotions in this chapter ""Granny?!"" *more screaming* I'M FINE! TT_TT",0,,,180
wow I love this story- so unique and you really made the characters come to life in this modern!AU,0,,,98
"This chapter is so well-paced and exciting and I love the juniors' cameos, but chengxian (and Jin Ling! This is so painful for him!) continue to break my heart. They're in such a mess and I know it's only going to get messier.",0,,,226
"AHHHH thank you so much for this update it was EXACTLY what I needed. I'll be honest I don't think I've read a more entertaining, thrilling, and comprehensive telling or retelling of the siege of the burial mounds before. Usually it's dull or confusing or very very long. You did such a great job in my opinion. Thank you for another fantastic chapter",0,,,351
"Just wanted to drop a comment to let you know that I really si enjoy this work("": thank you for the wonderful read and I cant wait for the next half of the story! just wanted to let you know that there are still people rooting for you and this story!",0,,,250
I'm going to post a proper reaction later. But I just wanted to let you know that your updates are keeping the original posting dates so it's not moving to the beginning of the tag when you update. People who just check the first page might start missing that you updated. I think you might have to manually change the date when you post a new chapter. ,0,,,355
omg xichen please omg. the secondhand embarrassment is so strong. i love him so much this poor hornee man who just wants to dote and love his lover so so so so thoroughly. LOVE IT. I LOVE THIS SO MUCH.,0,,,201
Loved it their dumb horny energy is truly outstanding And they are so in love with each other ,0,,,99
I really love this fic. It’s one of the very few unfinished fics that I actively go back and reread. Looking forward to the next chapter whenever you have a chance to post.,0,,,172
I'm so sorry about the negative comments <3 this fic is lovely and I've had such a nice time reading it,0,,,103
"Life is hard (especially given everything) and fic writing is hard too! Kudos to you for wanting to continue this, and I’m so sorry you’ve had to deal with such negativity. Ugh the JC reveal was so good and set up the parallels in both of their sacrifices (including the way WWX talks about JC daring to hide it from him - god they’re both idiots and I love them). It’s going to be so interesting when they meet again.",0,,,419
"Oh holy moly this was amazing I was initially gonna wait for the next part to come before I started this, but the description was too interesting for me to pass on and here I am Loved it!",0,,,194
"The way I jumped when I saw the AO3 email. God, this has been such a ride! I'm so excited for the two of them! ",0,,,117
"I love how shy JC is! But he is still so good for his Huan-gege.
Your style of writing is very captivating! Looking forward to new chapter ️️",0,,,143
This was absolutely fantastic. Excited for the next chapter! Thanks for sharing. ,0,,,81
"Wow! Once again you've done it. These 3 chapters were intense. Also, JC's need to self-immolate is bordering on masochism. I mean, you were granted a gift to change not only yourself but in some sense, your past mistakes yet his ridiculously low insecurity prevents him from doing it. I mean c'mon. It's pathetic. Reading this last chapter, I just wanted to shake him and scream ""get your head out the sand and go and grab your destiny"". Ugh. Anyway, thank you for your story",0,,,475
good..finally u dump those ungrateful n toxic people in ur fam..now lets see if they can run the business like usual or loose all the sales n etc..i hope that wwx will ruin n bamkruot the company to the point of bankruptcy n close it down..coz jc n the nies will not go n buy it off from dem to take over..let someone else do it..,0,,,330
"I’ve read the whole series and I have so much emotions now I can not explain. (Add to that that horrible donhua huh) I wanna punch WWX and LWJ so bad. So so bad. Sorry, but ADHD isn’t excuse for being an asshole brother. JFM must die the most horrible death. He must DIE. NMJ and JC do not deserve that kind of the mess. Honestly, NMJ being an angel keeping up with all this bullshit of Jiangs household. No wonder he needed therapy too. I want them to have a happy ending. I want all other suffer immensely. Yesimmathatbitterbitch. That’s wonderful how you managed to portray all of it so realistically. How dysfunctional family poisons everything surrounding it. That wow. True talent. Thank you ",0,,,704
wow..u locked n ignored jc out from his own home..in the rain..n den go n run to lwj uses him as a rebound..ugh..wretched brat..,0,,,128
"Oh, bitch nah!
Wtf wwx, isn’t jc your bf? The hell are you doing going around, fucking another guy? I mean really? Without even attempting to talk it out with jc? My god, why are you like this?",0,,,193
"Nope. No sympathy fo Jiang Wanyin and Jiang Yanli either. Idk what they did or didn’t know. Are you telling me Jiang Wanyin, eventually growing into an adult, never looked into the specifics of his medical record? And if Jiang Yanli is so great, she wouldn’t always be such a disappointing character in canon and fanon. “I didn’t know, I’m sorry, let me make some soup, busy marrying the man of my dreams so I couldn’t have done anything about your suffering” whatever
Lol I’m honestly not a big fan of Yanli so if I were Lan Zhan, I’d tell Wei Ying what happened. And if I were Wei Ying, I’d hit IGNORE. Passsssssss
I also realize that I’m being super harsh but let me live out my fictional RAGE",0,,,697
Excuse me while i burn a-cheng's parent's house down I fucking hate them..My poor baby A-cheng and you have an incredible talent and this fic is amazingly written And i know I'm late but i hope you are feeling better luv.I wish i could come come over and listen to all your problems or just give you a hug.I really do Take care author.Love you ,0,,,354
"Hey, thanks for sharing your work with us! Some of the stuff that was mentioned about it being ok to not know what you want and the feelings of being lost in terms about who you are, really hit home for me, but I never really knew how to articulte those feelings Side note, I'm really sorry to hear that you're having a rough day. Hope that you're feeling better now and please take care of yourself! (drink lots of water and take nice long naps)",0,,,447
"This was so good its almost like... bittersweet in a way? And I appreciate that love isnt some automatic cure, but it certainly helps make everything a little bit better (and I hope one day you (really, all of us lmao) get an lxc of your own)
I'm sorry that you had such a bad day and I hope you feel better and that venting like this helped some <3 it's okay to not know who you are, and to take some time to try to establish who you want to be and what you want from life, away from the influences of other people, including your parents and those you want to please (and trying to come to terms with the fact that you being happy and satisfied and content is more important than making everyone else around you happy and trying to make them proud of you, and that there are ppl in your life who love you regardless of what you can do for them and will be proud of you for finding yourself(I... haven't quite achieved this lol))
Stay healthy and safe! I hope you have a better day today Also I love Over and epik high omg and it suits jc so well?? I never realized wow",0,,,1077
"I'm so glad they resolved all misunderstandings and ended up together!
Thank you for writing this story ",0,,,106
"Thank you for sharing this amazing fic, I enjoyed reading it a lot and I appreciate the extra work putting in it by adding the images as well Good job fixing your relationship by your drunk twittering, jc, huan-ge deserves all your love, spoil him! ",0,,,255
"
Awwwwwwwwwww!",0,,,14
"
omg cries LOVELY ENDING FOR THE LOVELIEST PEOPLE",0,,,49
"Awww very sweet ending, loved this! Thanks so much for sharing~!",0,,,64
"oh!!!!!!
this really had an interesting writing style and sequences, and i do feel really intrigued by this plot and the way it was written out. and the ending!!!
it really hit the peak!!",0,,,188
"This is very poignant. He starts out trying to undo what he did then just finds himself doing his best to get home to the person who matters most. And all the versions he meets, just as tragic, make him more determined. Love it.",0,,,228
"This is so terribly, hauntingly beautiful. I love this to absolute pieces. I love the open ending, how over time Wei Wuxian slowly comes to realise that even if they can not live what they had dreamt of, what they felt for each other won't be devalued and remains just as precious. There are so many brilliant phrases here. Your writing style is lovely. But especially the two ending lines of each of the quote-styled portions. All of them are amazing. Thank you so much for this gem of a piece.",0,,,496
Aww the dimension hopping one!,0,,,30
"
Oooh exciting! I can't wait to see where the rest of this story goes ",0,,,72
"
They had a CHAINSAW attached to their HAND and then used a STEEL CABLE like a WHIP????
This is the content I live and breathe for, tyvm",0,,,136
"
This was so heartwarming <3",0,,,28
Alien world seems deeply unpleasant. I'd also jump into a weird rift to escape it ><,0,,,84
"
DETONATE THE BREACH!!!!!!
Also the image of wangxian just covered in whatever pickled kaiju body parts xue yang had is kind of funny",0,,,133
"Yes good perfect. Happy ending. Amazing. I really enjoyed this, thanks so much for sharing ",0,,,93
"hhahahahaha OMG THIS IS THE BEEEEEEEEEEST!!
LOOOOOOOOOOOOVED IT ALL!!
fengmian really see that coming and still there is nothing he can do about it!!
thanks for sharing! cant wait for more!",0,,,200
"This made me cackle. My cheeks hurt because I had a smile the whole time I was reading. I can’t even say what parts are my favorite because every time I decide, I read something funnier. JFM sitting up in bed in a cold sweat friggin kills me ",0,,,244
"
I saw your username and i click
I love this its so cute
Can you blame them tho, a-cheng is cute",0,,,96
"
yes they won't let him fall prey to the sharks in the ocean ",0,,,63
"It is a credit to your skills as a writer that you had me smiling,
laughing, and THOROUGHLY engrossed in a fic that wasn't Wangxian centric. Kudos and thank you.",0,,,162
hahhahah thank gods for yzy for having the brain in the family!!!,0,,,65
"
SCREAMS THE DAD-SON RECONCILATION IS AMAZING JDJDJDJDDHDHDDB i love this so much!!!!!!!!!",0,,,91
"This was beautiful and and I'm glad that LXC joined forces with WWX and JFM. This is the only JFM that I like, other than that the canon JFM can go fuck himself. Take care, drink some water, and have a nicd day/night!!",0,,,220
"I had SO MUCH fun with this, and I love how you closed it. Full circle.
People hate JFM? I haven't been that long in the fandom so I wouldn't know. It seems rather unfair, I mean obviously he had his flaws but I don't think he is hateful. Besides, a common theme in mxtx's works is that flaws are inevitable in anyone",0,,,317
"I literally laughed out loud several times while reading this, I think it cured my depression. ",0,,,98
Oh this is too wonderful AND THE ENDING..???? THAT PHONE CALL?? HAHAHAHA ABSOLUTELY FANTASTIC! What a good ending hahahahahaha thank you for this!!! I had so so so much fun reading this,0,,,185
Great beginning. Looking forward to more,0,,,40
"oooh long fic and slowburn? super excited for this! love the first chapter, can't wait for the next!",0,,,101
"I am loving this! I don't always get in on the ground floor for an epic like this, but this concept is pushing all the right buttons, so I am all in! Super excited to join you on this epic journey of slowburn and, I can only hope, copious mutual pining (which is my jam).",0,,,271
"
I literally drop everything when I get an email that you’ve posted, I trust you that much, so I will definitely be along for the ride. Amazing first chapter, as always",0,,,168
"
Everything ab this is glorious, I cannot wait to see how it develops. Thank you so much ",0,,,90
You just made me cry on the first chapter! How dare you!?,0,,,57
Eeee! what a thrilling first chapter!,0,,,37
"
I am here and ready for the queer",0,,,34
I loved this! The way you described everything was amazing. The way the war ended tho so good. I can’t wait for the next one!,0,,,128
"
I read both the chapters together and this fic is so good. can't wait for Sunday to come ",0,,,91
"Once again a fantastic chapter, so looking forward to the ""Wedding"" thank you for this amazing story xx",0,,,103
